Date,Narration,Chq/Ref No,Value Dt,Withdrawal Amt,Deposit Amt,Closing Balance
01/08/2026,NEFT CR-INFOSYS LTD-SALARY-AUG26,NEFT85771016,01/08/2026,,65000.00,110000.00
01/08/2026,UPI-ZOMATO-HDFC-UPI/3906,UPI/390693597791,01/08/2026,584.96,,109415.04
01/08/2026,UPI-SWIGGY-PYTM-UPI/5948,UPI/594852431192,01/08/2026,502.74,,108912.30
01/08/2026,UPI-SWIGGY-PYTM-UPI/8428,UPI/842885764817,01/08/2026,397.29,,108515.01
02/08/2026,UPI-AMAZONPAY-AXL-UPI/7320,UPI/732024958427,02/08/2026,2375.63,,106139.38
02/08/2026,UPI-ZOMATO-HDFC-UPI/8935,UPI/893519799762,02/08/2026,585.20,,105554.18
03/08/2026,UPI-ZOMATO-HDFC-UPI/1615,UPI/161529402246,03/08/2026,406.14,,105148.04
03/08/2026,UPI-HPCL PETROL-SBI-UPI/6949,UPI/694900399645,03/08/2026,1593.00,,103555.04
03/08/2026,UPI-BLINKIT-ICIC-UPI/4416,UPI/441626250449,03/08/2026,178.36,,103376.68
04/08/2026,UPI-HPCL PETROL-SBI-UPI/9027,UPI/902764842834,04/08/2026,1168.06,,102208.62
05/08/2026,RELOAD-METRO-CARD-UPI/6924,UPI/692451298040,05/08/2026,494.56,,101714.06
05/08/2026,ATM WDL-SEC 17 CHD-UPI/8908,UPI/890831453393,05/08/2026,3847.12,,97866.94
06/08/2026,UPI-ZOMATO-HDFC-UPI/5487,UPI/548703830780,06/08/2026,682.01,,97184.93
06/08/2026,UPI-SWIGGY-PYTM-UPI/7281,UPI/728189059475,06/08/2026,356.02,,96828.91
07/08/2026,UPI-BLINKIT-ICIC-UPI/2438,UPI/243874453647,07/08/2026,489.70,,96339.21
08/08/2026,UPI-SWIGGY-PYTM-UPI/8848,UPI/884846974336,08/08/2026,302.33,,96036.88
08/08/2026,ELECTRICITY CHANDIGARH-UPI/9151,UPI/915134509845,08/08/2026,2288.31,,93748.57
09/08/2026,ELECTRICITY CHANDIGARH-UPI/1094,UPI/109418963922,09/08/2026,3159.68,,90588.89
10/08/2026,UPI-HPCL PETROL-SBI-UPI/3695,UPI/369516277654,10/08/2026,1138.42,,89450.47
10/08/2026,UPI-ZOMATO-HDFC-UPI/3882,UPI/388255687616,10/08/2026,343.66,,89106.81
11/08/2026,RELOAD-METRO-CARD-UPI/7480,UPI/748049121733,11/08/2026,384.86,,88721.95
11/08/2026,UPI-ZOMATO-HDFC-UPI/4437,UPI/443703076867,11/08/2026,551.43,,88170.52
12/08/2026,UPI-ZOMATO-HDFC-UPI/9654,UPI/965431065109,12/08/2026,426.13,,87744.39
12/08/2026,UPI-AMAZONPAY-AXL-UPI/9094,UPI/909424211644,12/08/2026,1156.80,,86587.59
13/08/2026,UPI-ZOMATO-HDFC-UPI/7096,UPI/709671308937,13/08/2026,622.99,,85964.60
13/08/2026,ATM WDL-SEC 17 CHD-UPI/5773,UPI/577390566031,13/08/2026,3112.93,,82851.67
14/08/2026,UPI-ZOMATO-HDFC-UPI/6733,UPI/673386573001,14/08/2026,347.55,,82504.12
15/08/2026,UPI-HPCL PETROL-SBI-UPI/8580,UPI/858093448422,15/08/2026,1074.75,,81429.37
15/08/2026,UPI-AMAZONPAY-AXL-UPI/5604,UPI/560486353480,15/08/2026,595.79,,80833.58
15/08/2026,ATM WDL-SEC 17 CHD-UPI/3033,UPI/303388242797,15/08/2026,4029.42,,76804.16
16/08/2026,UPI-BLINKIT-ICIC-UPI/9766,UPI/976627950087,16/08/2026,192.95,,76611.21
16/08/2026,UPI-HPCL PETROL-SBI-UPI/3767,UPI/376784659505,16/08/2026,2448.94,,74162.27
17/08/2026,RELOAD-METRO-CARD-UPI/2222,UPI/222260874209,17/08/2026,362.98,,73799.29
17/08/2026,UPI-HPCL PETROL-SBI-UPI/1314,UPI/131423892530,17/08/2026,1650.88,,72148.41
17/08/2026,UPI-ZOMATO-HDFC-UPI/5828,UPI/582821907080,17/08/2026,795.13,,71353.28
18/08/2026,UPI-AMAZONPAY-AXL-UPI/8830,UPI/883024540032,18/08/2026,919.67,,70433.61
19/08/2026,UPI-ZOMATO-HDFC-UPI/9092,UPI/909229714844,19/08/2026,309.32,,70124.29
19/08/2026,UPI-SWIGGY-PYTM-UPI/8194,UPI/819407093612,19/08/2026,286.33,,69837.96
19/08/2026,ELECTRICITY CHANDIGARH-UPI/2686,UPI/268652825377,19/08/2026,3107.55,,66730.41
20/08/2026,UPI-SWIGGY-PYTM-UPI/1277,UPI/127723026711,20/08/2026,472.19,,66258.22
20/08/2026,ATM WDL-SEC 17 CHD-UPI/4534,UPI/453444221044,20/08/2026,2362.67,,63895.55
20/08/2026,ELECTRICITY CHANDIGARH-UPI/6676,UPI/667648908538,20/08/2026,3244.21,,60651.34
21/08/2026,ATM WDL-SEC 17 CHD-UPI/9687,UPI/968762573518,21/08/2026,4297.04,,56354.30
22/08/2026,UPI-AMAZONPAY-AXL-UPI/1269,UPI/126937110545,22/08/2026,1879.86,,54474.44
22/08/2026,UPI-HPCL PETROL-SBI-UPI/7096,UPI/709627176817,22/08/2026,1664.49,,52809.95
22/08/2026,ATM WDL-SEC 17 CHD-UPI/6657,UPI/665798527012,22/08/2026,3468.50,,49341.45
23/08/2026,UPI-SWIGGY-PYTM-UPI/4856,UPI/485694593886,23/08/2026,466.72,,48874.73
24/08/2026,RELOAD-METRO-CARD-UPI/6938,UPI/693832620658,24/08/2026,267.27,,48607.46
24/08/2026,UPI-ZOMATO-HDFC-UPI/4171,UPI/417101256117,24/08/2026,435.18,,48172.28
25/08/2026,RELOAD-METRO-CARD-UPI/9129,UPI/912996288315,25/08/2026,292.04,,47880.24
25/08/2026,ATM WDL-SEC 17 CHD-UPI/2999,UPI/299911508134,25/08/2026,2036.77,,45843.47
25/08/2026,UPI-ZOMATO-HDFC-UPI/6104,UPI/610493564187,25/08/2026,398.71,,45444.76
26/08/2026,UPI-BLINKIT-ICIC-UPI/3137,UPI/313787869799,26/08/2026,334.47,,45110.29
27/08/2026,UPI-BLINKIT-ICIC-UPI/8083,UPI/808344945932,27/08/2026,414.71,,44695.58
