product_title,product_description,ship_from,ship_to,seller,price,source
10mg Diazepam Tabletten - 10 Stück,"- 10mg Diazepam Tabletten - 10 Stück

- Diskreter Versand in neutralem Päckchen aus Deutschland.

- Bitte achten Sie darauf immer die richtige Versandadresse anzugeben.

- Anfragen und Bestellungen werden täglich ab 18.00 Uhr bearbeitet.

- Der Versand erfolgt immer spätestens zwei Tage nach Geldeingang.

*** Da ich ein gesichertes E-Mail Progamm habe können Sie mir Ihren Namen und Ihre Adresse einfach zukommen lassen***


Bitte schreiben Sie mir nach einer Bestellung keine PGP verschlüsselten Mails.
Mein Rechner / Server ist via TOR-Netzwerk und einer zusätzlichen VPN Verbindung gesichert sodass eine PGP Verschlüsselung nicht notwendig ist.

Wenn Sie eine Bestellung aufgeben, schreiben Sie mir bitte einfach eine Mail an 1776:


... mit dem Inhalt:


- Ihrem richtigen Namen
- Ihrer Adesse


Wenn Sie Fragen haben, stellen Sie diese bitte immer dirket über 1776",Germany,Worldwide,1XAnOYMoUsX1BXx,$67.01,1776
10mg Diazepam Tabletten - 50 Stück,"10 mg Diazepam / Valium / Valocordin Tabletten je Packung 50 Stück



- 1x Packung 50 Stück 10mg

- Diskreter Versand in neutralem Päckchen aus Deutschland.

- Bitte achten Sie darauf immer die richtige Versandadresse anzugeben.

- Anfragen und Bestellungen werden täglich ab 18.00 Uhr bearbeitet.

- Der Versand erfolgt immer spätestens zwei Tage nach Geldeingang.


*** Da ich ein gesichertes E-Mail Progamm habe können Sie mir Ihren Namen und Ihre Adresse einfach zukommen lassen***


Bitte schreiben Sie mir nach einer Bestellung keine PGP verschlüsselten Mails.
Mein Rechner / Server ist via TOR-Netzwerk und einer zusätzlichen VPN Verbindung gesichert sodass eine PGP Verschlüsselung nicht notwendig ist.

Wenn Sie eine Bestellung aufgeben, schreiben Sie mir bitte einfach eine Mail an 1776:


... mit dem Inhalt:


- Ihrem richtigen Namen
- Ihrer Adesse


Wenn Sie Fragen haben, stellen Sie diese bitte immer dirket über 1776",Germany,Worldwide,1XAnOYMoUsX1BXx,$93.82,1776
Sonderpreis !!! 10x Diazepam Tropfen 25ml,"Diazepam / Valium / Valocordin Tropfen je Flasche 25ml - 10mg/ml



- Zehn Flaschen je 25ml

- Diskreter Versand in neutralem Päckchen aus Deutschland.

- Bitte achten Sie darauf immer die richtige Versandadresse anzugeben.

- Anfragen und Bestellungen werden täglich ab 18.00 Uhr bearbeitet.

- Der Versand erfolgt immer spätestens zwei Tage nach Geldeingang.


*** Da ich ein gesichertes E-Mail Progamm habe können Sie mir Ihren Namen und Ihre Adresse einfach zukommen lassen***


Bitte schreiben Sie mir nach einer Bestellung keine PGP verschlüsselten Mails.
Mein Rechner / Server ist via TOR-Netzwerk und einer zusätzlichen VPN Verbindung gesichert sodass eine PGP Verschlüsselung nicht notwendig ist.

Wenn Sie eine Bestellung aufgeben, schreiben Sie mir bitte einfach eine Mail an 1776:


... mit dem Inhalt:


- Ihrem richtigen Namen
- Ihrer Adesse


Wenn Sie Fragen haben, stellen Sie diese bitte immer dirket über 1776.
Sollte alles zu Ihrer Zufriedenheit abgelaufen sein freue ich mich auf eine positive Bewertung.",Germany,Worldwide,1XAnOYMoUsX1BXx,$938.32,1776
Sonderpreis !!! 2x Diazepam Tropfen 25ml,"Diazepam / Valium / Valocordin Tropfen je Flasche 25ml - 10mg/ml



- Zwei Flaschen je 25ml

- Diskreter Versand in neutralem Päckchen aus Deutschland.

- Bitte achten Sie darauf immer die richtige Versandadresse anzugeben.

- Anfragen und Bestellungen werden täglich ab 18.00 Uhr bearbeitet.

- Der Versand erfolgt immer spätestens zwei Tage nach Geldeingang.


*** Da ich ein gesichertes E-Mail Progamm habe können Sie mir Ihren Namen und Ihre Adresse einfach zukommen lassen***


Bitte schreiben Sie mir nach einer Bestellung keine PGP verschlüsselten Mails.
Mein Rechner / Server ist via TOR-Netzwerk und einer zusätzlichen VPN Verbindung gesichert sodass eine PGP Verschlüsselung nicht notwendig ist.

Wenn Sie eine Bestellung aufgeben, schreiben Sie mir bitte einfach eine Mail an 1776:


... mit dem Inhalt:


- Ihrem richtigen Namen
- Ihrer Adesse


Wenn Sie Fragen haben, stellen Sie diese bitte immer dirket über 1776",Germany,Worldwide,1XAnOYMoUsX1BXx,$214.46,1776
1 gr indian Ketamin,"Very Strong Ketamin from India be careful

i dont send to usa and Australia sorry only with FE and for your own risk",Austria,Worldwide,ACAB23,$50.00,1776
Brand New CVV Dump,"Hi 1776 ! We are BlazedBank, a team of hackers based around the world with a knack for hacking SQL databases. Today we bring you a new product.

We are selling brand new CVV dumps, each dump is no less than one week old and our dumps are constantly changed on a weekly basis. None of the cards you receive upon purchase have been verified,you will receive a unused credit card. Please note that these are CVV dumps and not Track1/Track2 dumps. Purchase is for one card.

Example:
	Card Number:4789861591125343
	CVV: 514
	Full name: Ashleigh Crooks
	Expires: 09/14
	Country: Canada
	State: ON
	City: Thunder Bay
	Address: 733 Harkness St
	Post Code / ZIP: p7e 1s3
	Phone: 8076223833",Undeclared,Worldwide,BlazedBank,$5.00,1776
100g SPEED PASTE (wet),"SPEED PASTE  -  (Amphetamine)

***Very good SPEED for very good price.

***Very wet, very fresh.

***The loss due drying is about max. 40-45%!!!

***Discreet and safe „Ninja stealth” packaging and shipping !!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$490.00,1776
10g AFGHAN KUSH - Outdoor Weed (Very Strong!!!),"„AFGHAN KUSH”  - Outdoor WEED (Very Strong!!!) 


<<<<<<  Grade: AAA+ TOP QUALITY!

<<<<<<  Genetics: Pure Afghan Kush

<<<<<<  THC Content: High 22,60%

<<<<<<  Very clean, tasty, potent, high quality weed. No big leaves and crap, only fine selected buds full of sticky resin crystals.

<<<<<<  The smell and taste is sweet and spicey, the effect is powerful and stoney. 

<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

<<<<<<  You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$100.00,1776
10g CHOCOLATE FONDUE - Specific Outdoor Weed (Top Quality!),"„CHOCOLATE FONDUE”  -  Specific Outdoor WEED (Sativa / Indica)


***--- Name: CHOCOLATE FONDUE

***--- Grade: A+++ TOP QUALITY!

***--- Genetics: Chocolope and Exodus Cheese

***--- THC Content: High 21%

***Very clean, tasty, potent, high quality weed. No big leaves and crap, only fine selected buds full of sticky resin crystals. :-)

***The smell and taste is sweet and spicey, the effect is powerful and stoney. 

***Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

***You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$90.00,1776
10g CRYSTAL SKUNK – Special Indoor Weed for Special People (High Quality!!!),"„CRYSTAL SKUNK”  - Indoor WEED (High Quality!!!)


<<<<<<  Grade: AAA+ TOP QUALITY!

<<<<<<  Genetics: Skunk #1 and Afghan Kush

<<<<<<  THC Content: High 23,00%

<<<<<<  Very clean, tasty, potent, high quality weed. No big leaves and crap, only fine selected buds full of sticky resin crystals. 

<<<<<<  The smell and taste are excellent and the effect is powerful and stoney. 

<<<<<<  Discreet and safe „Ninja stealth” packaging and shipping!!! (Smell proof guaranteed!!!)

<<<<<<  You get exactly what you see on the picture! Photo is taken from the original product!!!",Hungary,Worldwide,BruceWillix,$120.00,1776
